M- 278
Integration time: 3000 ms
Average: 1 scans
Nr of pixels used for smoothing: 0
Data measured with spectrometer serial number: 0604021S1
Wave   ;Sample
[nm]   ;[counts]
395,86;1700,0
396,45;1625,0
397,03;1568,0
397,62;1297,0
398,21;1286,0
398,80;1852,0
399,39;2420,0
399,97;2576,0
400,56;2519,0
401,15;2442,0
401,74;2427,0
402,32;2168,0
402,91;1817,0
403,50;1284,0
404,09;1245,0
404,67;1520,0
405,26;2195,0
405,85;2450,0
406,44;2530,0
407,02;2459,0
407,61;2691,0
408,20;2526,0
408,78;2277,0
409,37;1719,0
409,96;1359,0
410,55;1265,0
411,13;1338,0
411,72;1251,0
412,31;1333,0
412,89;1413,0
413,48;1471,0
414,07;1591,0
414,65;1708,0
415,24;1833,0
415,83;1701,0
416,42;1739,0
417,00;1780,0
417,59;1656,0
418,18;1668,0
418,76;1836,0
419,35;2101,0
419,94;2135,0
420,52;2177,0
421,11;2251,0
421,69;1992,0
422,28;1896,0
422,87;1879,0
423,45;1559,0
424,04;1180,0
424,63;1379,0
425,21;1481,0
425,80;1691,0
426,38;2205,0
426,97;2234,0
427,56;2290,0
428,14;2278,0
428,73;2232,0
429,31;2122,0
429,90;1765,0
430,49;1250,0
431,07;958,00
431,66;744,00
432,24;827,00
432,83;895,00
433,42;1076,0
434,00;1409,0
434,59;1552,0
435,17;1467,0
435,76;1463,0
436,34;1485,0
436,93;1410,0
437,51;1243,0
438,10;856,00
438,69;742,00
439,27;523,00
439,86;552,00
440,44;551,00
441,03;674,00
441,61;733,00
442,20;655,00
442,78;664,00
443,37;574,00
443,95;631,00
444,54;585,00
445,12;554,00
445,71;443,00
446,29;590,00
446,88;609,00
447,46;650,00
448,05;857,00
448,63;860,00
449,22;827,00
449,80;879,00
450,39;764,00
450,97;661,00
451,56;681,00
452,14;607,00
452,72;528,00
453,31;451,00
453,89;512,00
454,48;436,00
455,06;542,00
455,65;548,00
456,23;669,00
456,81;786,00
457,40;820,00
457,98;845,00
458,57;757,00
459,15;787,00
459,74;694,00
460,32;613,00
460,90;448,00
461,49;407,00
462,07;451,00
462,66;477,00
463,24;452,00
463,82;543,00
464,41;621,00
464,99;589,00
465,57;728,00
466,16;794,00
466,74;673,00
467,33;634,00
467,91;603,00
468,49;568,00
469,08;577,00
469,66;408,00
470,24;436,00
470,83;413,00
471,41;411,00
471,99;515,00
472,58;476,00
473,16;475,00
473,74;506,00
474,33;447,00
474,91;448,00
475,49;335,00
476,08;248,00
476,66;231,00
477,24;354,00
477,82;363,00
478,41;343,00
478,99;360,00
479,57;363,00
480,16;420,00
480,74;528,00
481,32;526,00
481,90;502,00
482,49;483,00
483,07;555,00
483,65;556,00
484,23;552,00
484,82;629,00
485,40;640,00
485,98;736,00
486,56;830,00
487,15;779,00
487,73;842,00
488,31;838,00
488,89;890,00
489,47;712,00
490,06;620,00
490,64;637,00
491,22;602,00
491,80;440,00
492,39;356,00
492,97;472,00
493,55;491,00
494,13;431,00
494,71;410,00
495,29;369,00
495,88;329,00
496,46;352,00
497,04;330,00
497,62;391,00
498,20;357,00
498,78;284,00
499,37;242,00
499,95;416,00
500,53;362,00
501,11;443,00
501,69;370,00
502,27;384,00
502,85;393,00
503,44;350,00
504,02;364,00
504,60;302,00
505,18;291,00
505,76;321,00
506,34;343,00
506,92;290,00
507,50;319,00
508,08;266,00
508,67;216,00
509,25;302,00
509,83;290,00
510,41;264,00
510,99;200,00
511,57;190,00
512,15;258,00
512,73;200,00
513,31;274,00
513,89;190,00
514,47;317,00
515,05;281,00
515,63;281,00
516,21;297,00
516,79;256,00
517,38;270,00
517,96;280,00
518,54;239,00
519,12;246,00
519,70;271,00
520,28;211,00
520,86;234,00
521,44;334,00
522,02;327,00
522,60;236,00
523,18;341,00
523,76;251,00
524,34;311,00
524,92;326,00
525,50;181,00
526,08;248,00
526,66;225,00
527,24;193,00
527,82;219,00
528,39;234,00
528,97;244,00
529,55;189,00
530,13;233,00
530,71;332,00
531,29;185,00
531,87;192,00
532,45;219,00
533,03;339,00
533,61;239,00
534,19;379,00
534,77;290,00
535,35;279,00
535,93;257,00
536,51;283,00
537,08;305,00
537,66;306,00
538,24;177,00
538,82;203,00
539,40;230,00
539,98;357,00
540,56;215,00
541,14;278,00
541,72;235,00
542,29;357,00
542,87;354,00
543,45;356,00
544,03;288,00
544,61;197,00
545,19;241,00
545,77;268,00
546,34;234,00
546,92;233,00
547,50;251,00
548,08;200,00
548,66;281,00
549,23;249,00
549,81;303,00
550,39;268,00
550,97;150,00
551,55;145,00
552,13;202,00
552,70;242,00
553,28;190,00
553,86;194,00
554,44;254,00
555,01;184,00
555,59;340,00
556,17;262,00
556,75;262,00
557,33;217,00
557,90;294,00
558,48;233,00
559,06;380,00
559,64;327,00
560,21;297,00
560,79;254,00
561,37;180,00
561,95;352,00
562,52;214,00
563,10;229,00
563,68;192,00
564,25;270,00
564,83;235,00
565,41;246,00
565,99;242,00
566,56;227,00
567,14;181,00
567,72;185,00
568,29;292,00
568,87;337,00
569,45;308,00
570,02;190,00
570,60;196,00
571,18;359,00
571,75;294,00
572,33;215,00
572,91;263,00
573,48;276,00
574,06;261,00
574,64;259,00
575,21;275,00
575,79;323,00
576,37;337,00
576,94;262,00
577,52;299,00
578,09;279,00
578,67;325,00
579,25;338,00
579,82;265,00
580,40;345,00
580,97;253,00
581,55;376,00
582,13;330,00
582,70;324,00
583,28;329,00
583,85;336,00
584,43;200,00
585,01;205,00
585,58;271,00
586,16;352,00
586,73;328,00
587,31;334,00
587,88;192,00
588,46;286,00
589,03;209,00
589,61;270,00
590,18;312,00
590,76;332,00
591,34;382,00
591,91;314,00
592,49;385,00
593,06;271,00
593,64;263,00
594,21;237,00
594,79;194,00
595,36;186,00
595,94;218,00
596,51;258,00
597,09;181,00
597,66;217,00
598,24;246,00
598,81;241,00
599,38;294,00
599,96;283,00
600,53;222,00
601,11;202,00
601,68;288,00
602,26;283,00
602,83;228,00
603,41;249,00
603,98;223,00
604,56;259,00
605,13;289,00
605,70;231,00
606,28;157,00
606,85;165,00
607,43;205,00
608,00;286,00
608,57;150,00
609,15;285,00
609,72;155,00
610,30;143,00
610,87;252,00
611,44;139,00
612,02;236,00
612,59;267,00
613,16;301,00
613,74;253,00
614,31;250,00
614,89;292,00
615,46;239,00
616,03;283,00
616,61;272,00
617,18;236,00
617,75;300,00
618,33;306,00
618,90;261,00
619,47;273,00
620,05;373,00
620,62;234,00
621,19;224,00
621,77;138,00
622,34;194,00
622,91;238,00
623,48;172,00
624,06;245,00
624,63;160,00
625,20;224,00
625,78;210,00
626,35;201,00
626,92;198,00
627,49;164,00
628,07;183,00
628,64;145,00
629,21;241,00
629,78;179,00
630,36;226,00
630,93;211,00
631,50;149,00
632,07;173,00
632,65;210,00
633,22;256,00
633,79;200,00
634,36;217,00
634,93;225,00
635,51;247,00
636,08;163,00
636,65;197,00
637,22;206,00
637,79;124,00
638,37;168,00
638,94;211,00
639,51;187,00
640,08;266,00
640,65;207,00
641,22;220,00
641,80;178,00
642,37;168,00
642,94;160,00
643,51;231,00
644,08;173,00
644,65;226,00
645,22;224,00
645,80;196,00
646,37;245,00
646,94;260,00
647,51;339,00
648,08;311,00
648,65;372,00
649,22;253,00
649,79;372,00
650,36;449,00
650,93;317,00
651,51;426,00
652,08;379,00
652,65;341,00
653,22;298,00
653,79;392,00
654,36;369,00
654,93;518,00
655,50;862,00
656,07;1276,0
656,64;1386,0
657,21;1474,0
657,78;1570,0
658,35;1568,0
658,92;1520,0
659,49;1458,0
660,06;1113,0
660,63;757,00
661,20;665,00
661,77;716,00
662,34;730,00
662,91;575,00
663,48;557,00
664,05;472,00
664,62;441,00
665,19;369,00
665,76;374,00
666,33;208,00
666,90;408,00
667,47;290,00
668,04;392,00
668,61;328,00
669,18;409,00
669,75;268,00
670,32;287,00
670,89;371,00
671,46;237,00
672,03;297,00
672,60;231,00
673,17;273,00
673,74;278,00
674,30;276,00
674,87;269,00
675,44;225,00
676,01;255,00
676,58;250,00
677,15;237,00
677,72;281,00
678,29;302,00
678,86;294,00
679,42;208,00
679,99;198,00
680,56;213,00
681,13;267,00
681,70;191,00
682,27;74,000
682,84;182,00
683,40;141,00
683,97;233,00
684,54;66,000
685,11;162,00
685,68;230,00
686,25;141,00
686,81;110,00
687,38;171,00
687,95;213,00
688,52;118,00
689,09;174,00
689,65;86,000
690,22;105,00
690,79;168,00
691,36;125,00
691,92;79,000
692,49;111,00
693,06;114,00
693,63;163,00
694,20;116,00
694,76;79,000
695,33;214,00
695,90;151,00
696,47;140,00
697,03;124,00
697,60;72,000
698,17;188,00
698,73;78,000
699,30;167,00
699,87;173,00
700,44;137,00
701,00;151,00
701,57;147,00
702,14;120,00
702,70;107,00
703,27;165,00
703,84;144,00
704,40;126,00
704,97;111,00
705,54;127,00
706,10;126,00
706,67;113,00
707,24;151,00
707,80;65,000
708,37;145,00
708,94;155,00
709,50;70,000
710,07;99,000
710,64;107,00
711,20;115,00
711,77;86,000
712,33;155,00
712,90;154,00
713,47;71,000
714,03;191,00
714,60;80,000
715,16;157,00
715,73;116,00
716,30;154,00
716,86;163,00
717,43;159,00
717,99;174,00
718,56;294,00
719,12;55,000
719,69;62,000
720,26;131,00
720,82;120,00
721,39;118,00
721,95;169,00
722,52;77,000
723,08;69,000
723,65;163,00
724,21;125,00
724,78;122,00
725,34;170,00
725,91;114,00
726,47;85,000
727,04;109,00
727,60;111,00
728,17;249,00
728,73;153,00
729,30;151,00
729,86;237,00
730,43;143,00
730,99;64,000
731,56;129,00
732,12;170,00
732,68;83,000
733,25;130,00
733,81;198,00
734,38;107,00
734,94;98,000
735,51;227,00
736,07;250,00
736,63;154,00
737,20;155,00
737,76;239,00
738,33;171,00
738,89;134,00
739,46;244,00
740,02;112,00
740,58;96,000
741,15;312,00
741,71;203,00
742,27;252,00
742,84;112,00
743,40;166,00
743,97;297,00
744,53;436,00
745,09;468,00
745,66;341,00
746,22;435,00
746,78;506,00
747,35;486,00
747,91;576,00
